Player,Season,Game ,K
Lauren Stivrins,2020,1,9
Lauren Stivrins,2020,2,7
Lauren Stivrins,2020,3,18
Lauren Stivrins,2020,4,8
Lauren Stivrins,2020,5,11
Lauren Stivrins,2020,6,15
Lauren Stivrins,2020,7,16
Lauren Stivrins,2020,8,8
Lauren Stivrins,2020,9,10
Lauren Stivrins,2020,10,11
Lauren Stivrins,2020,11,18
Lauren Stivrins,2020,12,16
Lauren Stivrins,2020,13,8
Lauren Stivrins,2020,14,6
Lauren Stivrins,2020,15,10
Lauren Stivrins,2020,16,10
Lauren Stivrins,2019,1,9
Lauren Stivrins,2019,2,5
Lauren Stivrins,2019,3,6
Lauren Stivrins,2019,4,14
Lauren Stivrins,2019,5,7
Lauren Stivrins,2019,6,6
Lauren Stivrins,2019,7,9
Lauren Stivrins,2019,8,9
Lauren Stivrins,2019,9,9
Lauren Stivrins,2019,10,11
Lauren Stivrins,2019,11,10
Lauren Stivrins,2019,12,6
Lauren Stivrins,2019,13,9
Lauren Stivrins,2019,14,13
Lauren Stivrins,2019,15,11
Lauren Stivrins,2019,16,10
Lauren Stivrins,2019,17,6
Lauren Stivrins,2019,18,17
Lauren Stivrins,2019,19,18
Lauren Stivrins,2019,20,8
Lauren Stivrins,2019,21,14
Lauren Stivrins,2019,22,10
Lauren Stivrins,2019,23,8
Lauren Stivrins,2019,24,7
Lauren Stivrins,2019,25,15
Lauren Stivrins,2019,26,8
Lauren Stivrins,2019,27,8
Lauren Stivrins,2019,28,7
Lauren Stivrins,2019,29,2
Lauren Stivrins,2019,30,11
Lauren Stivrins,2019,31,11
Lauren Stivrins,2019,32,7
Lauren Stivrins,2019,33,3
Lauren Stivrins,2018,1,6
Lauren Stivrins,2018,2,5
Lauren Stivrins,2018,3,9
Lauren Stivrins,2018,4,8
Lauren Stivrins,2018,5,7
Lauren Stivrins,2018,6,5
Lauren Stivrins,2018,7,8
Lauren Stivrins,2018,8,9
Lauren Stivrins,2018,9,7
Lauren Stivrins,2018,10,11
Lauren Stivrins,2018,11,7
Lauren Stivrins,2018,12,7
Lauren Stivrins,2018,13,10
Lauren Stivrins,2018,14,8
Lauren Stivrins,2018,15,3
Lauren Stivrins,2018,16,10
Lauren Stivrins,2018,17,2
Lauren Stivrins,2018,18,10
Lauren Stivrins,2018,19,6
Lauren Stivrins,2018,20,12
Lauren Stivrins,2018,21,16
Lauren Stivrins,2018,22,9
Lauren Stivrins,2018,23,13
Lauren Stivrins,2018,24,10
Lauren Stivrins,2018,25,11
Lauren Stivrins,2018,26,6
Lauren Stivrins,2018,27,8
Lauren Stivrins,2018,28,12
Lauren Stivrins,2018,29,8
Lauren Stivrins,2018,30,8
Lauren Stivrins,2018,31,11
Lauren Stivrins,2018,32,8
Lauren Stivrins,2018,33,19
Lauren Stivrins,2017,1,9
Lauren Stivrins,2017,2,7
Lauren Stivrins,2017,3,6
Lauren Stivrins,2017,4,7
Lauren Stivrins,2017,5,7
Lauren Stivrins,2017,6,8
Lauren Stivrins,2017,7,6
Lauren Stivrins,2017,8,10
Lauren Stivrins,2017,9,7
Lauren Stivrins,2017,10,7
Lauren Stivrins,2017,11,8
Lauren Stivrins,2017,12,8
Lauren Stivrins,2017,13,11
Lauren Stivrins,2017,14,8
Lauren Stivrins,2017,15,10
Lauren Stivrins,2017,16,6
Lauren Stivrins,2017,17,5
Lauren Stivrins,2017,18,7
Lauren Stivrins,2017,19,4
Lauren Stivrins,2017,20,9
Lauren Stivrins,2017,21,6
Lauren Stivrins,2017,22,4
Lauren Stivrins,2017,23,8
Lauren Stivrins,2017,24,5
Lauren Stivrins,2017,25,9
Lauren Stivrins,2017,26,7
Lauren Stivrins,2017,27,12
Lauren Stivrins,2017,28,4
Lauren Stivrins,2017,29,8
Lauren Stivrins,2017,30,3
Lauren Stivrins,2017,31,8
Lauren Stivrins,2017,32,8
Lauren Stivrins,2017,33,6
Lauren Stivrins,2017,34,5
Lauren Stivrins,2017,35,7
Lauren Stivrins,2017,36,9